product_name,product_id,barcode,barcode_format,gtin,batch,mfg_date,expiry_date,manufacturer,registration_number,description,mrp
Pulmonol Cough Syrup 120ml,PKM001,8961101620684,EAN13,08961101620684,,,,Nexpharm Healthcare (Pvt.) Ltd,000874,"A combination cough syrup containing dextromethorphan (cough suppressant) and guaifenesin (expectorant) for relief of cough and chest congestion.",450
Nuberol Forte Tablets,PKM002,8964001788928,EAN13,08964001788928,,,,Searle (The Searle Company Limited),N/A,"Combination analgesic and muscle relaxant containing paracetamol 650 mg and orphenadrine citrate 50 mg per tablet, used for relief of painful muscle spasm and musculoskeletal pain.",120
Johar Joshanda (30 Sachets),PKM004,855434009682,EAN13,0855434009682,,,,Qarshi Industries (Pvt.) Ltd,E. No. 00414.0023,"Unani herbal sachets for relief of cold/cough symptoms; dissolve one sachet in hot water or tea and sip slowly.",350
Quench Plus Cream 15g,PKM005,08961100513888,DATAMATRIX,08961100513888,B019,2025-03,2027-03,Ferozsons Laboratories Limited,000038,"Topical skin cream.",299
Surbex Tablets 30s,PKM006,01080026600231311726113010802981XV,DATAMATRIX,802981XV,802981XV,2025-09,2026-11,Abbott,,"Multivitamin supplement containing Zinc, Vitamin E, C, Folic Acid and B-Complex for vitality support.",440
Paracetamol Tablets 500mg,PKM007,8901234500001,EAN13,08901234500001,B001,2025-01,2027-01,Demo Pharma Ltd,REG001,"Analgesic and antipyretic tablets for mild to moderate pain and fever.",60
Ibuprofen Tablets 400mg,PKM008,8901234500002,EAN13,08901234500002,B002,2025-01,2027-01,Demo Pharma Ltd,REG002,"Non-steroidal anti-inflammatory drug for pain and inflammation.",90
Amoxicillin Capsules 250mg,PKM009,8901234500003,EAN13,08901234500003,B003,2025-02,2027-02,Demo Pharma Ltd,REG003,"Broad-spectrum antibiotic for bacterial infections.",180
Cetirizine Tablets 10mg,PKM010,8901234500004,EAN13,08901234500004,B004,2025-02,2027-02,Demo Pharma Ltd,REG004,"Antihistamine for relief of allergy symptoms.",70
Vitamin C Tablets 500mg,PKM011,8901234500005,EAN13,08901234500005,B005,2025-03,2027-03,Demo Pharma Ltd,REG005,"Vitamin supplement for immune system support.",150
Calcium Tablets,PKM012,8901234500006,EAN13,08901234500006,B006,2025-03,2027-03,Demo Pharma Ltd,REG006,"Calcium supplement for bone health.",200
Zinc Syrup,PKM013,8901234500007,EAN13,08901234500007,B007,2025-04,2027-04,Demo Pharma Ltd,REG007,"Zinc supplement syrup for pediatric use.",110
Multivitamin Syrup,PKM014,8901234500008,EAN13,08901234500008,B008,2025-04,2027-04,Demo Pharma Ltd,REG008,"Multivitamin syrup for general health.",130
Omeprazole Capsules 20mg,PKM015,8901234500009,EAN13,08901234500009,B009,2025-05,2027-05,Demo Pharma Ltd,REG009,"Proton pump inhibitor for acid reflux and ulcers.",220
